1	0.201303
2	0.201137
3	0.201122
4	0.201116
5	0.201112
6	0.201108
7	0.201105
8	0.201102
9	0.201098
10	0.201092
11	0.201082
12	0.201049
13	0.196032
14	0.192286
15	0.192233
16	0.188095
17	0.18267
18	0.182625
19	0.182611
20	0.182603
21	0.182598
22	0.182595
23	0.182592
24	0.182589
25	0.182587
26	0.182586
27	0.182584
28	0.182583
29	0.182582
30	0.182581
31	0.182579
32	0.182577
33	0.182576
34	0.182574
35	0.18257
36	0.182565
37	0.182549
38	0.179606
39	0.171903
40	0.171866
41	0.171858
42	0.171853
43	0.17185
44	0.171848
45	0.171847
46	0.171845
47	0.171844
48	0.171843
49	0.171843
50	0.171841
51	0.171841
52	0.171841
53	0.17184
54	0.17184
55	0.171839
56	0.171839
57	0.171839
58	0.171839
59	0.171838
60	0.171837
61	0.171837
62	0.171837
63	0.171837
64	0.171837
65	0.171836
66	0.171836
67	0.171835
68	0.171835
69	0.171835
